@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
11497, 18, 571, 44, 165, B
8736, 17, 656, 673, 6355, A
4834, 37, 338, 33, 78, C
14439, 55, 1162, 687, 283, B
1328, 16, 136, 26, 13, A
234055, 8247, 18020, 364, 2073, C
234055, 8247, 18020, 364, 2073, B
41348, 6137, 3496, 446, 2269, C
147388, 29039, 12127, 397, 1404, C
1944, 52, 213, 25, 228, B
3088, 1, 268, 42, 68, C
3088, 1, 268, 42, 68, C
4367, 0, 135, 42, 4079, B
8218, 154, 820, 241, 1796, B
51724, 2589, 3655, 155, 1132, A
2478, 209, 349, 479, 29, A
109470, 548, 6099, 283, 894, B
10622, 4, 1510, 38, 140, C
3098, 100, 468, 40, 1831, C
93293, 496, 10073, 396, 1552, A
5183, 13, 451, 659, 156, B
1565, 0, 280, 34, 77, A
13439, 12, 1599, 54, 282, C
5183, 13, 451, 659, 156, B
5133, 21, 338, 431, 100, C
5133, 21, 338, 431, 100, C
26553, 657, 1096, 959, 2361, A
49, 0, 24, 0, 41, B
5493, 37, 405, 633, 81, C
49, 0, 24, 0, 41, A
1176, 4, 115, 37, 25, B
2524, 39, 796, 11, 2499, C
9410, 6362, -884, 221, 4778, C
4801, 3, 358, 278, 55, C
