@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class NUMERIC
@DATA
5,10,13,5,11,18,0,0,0,16551,649,843,302,7313,22
20,34,37,5,11,17,7,16,23,78198,739,5047,291,864,101
3,4,7,5,11,17,0,0,0,15835,2395,1406,387,263,13
3,10,14,5,10,17,0,0,0,15835,2395,1406,387,263,34
4,4,12,4,10,16,0,0,0,42823,901,2147,422,2970,21
3,4,4,3,9,15,0,0,0,4533,3841,345,107,222,13
3,6,8,1,7,13,0,0,0,169363,2232,10081,240,2269,12
15,18,22,6,12,19,7,16,23,23813,118,3294,1189,306,72
3,5,7,5,11,17,0,0,0,2439,5791,1017,183,679,13
0,3,5,0,2,8,0,0,0,3820,1404,272,0,2121,11
24,30,35,6,12,18,14,32,46,6311,5,539,37,149,256
22,28,34,6,12,18,0,0,0,6311,5,539,37,149,257
6,7,10,5,12,18,0,0,0,3257,87,436,211,1419,23
3,4,4,5,11,18,0,0,0,1790,40,261,158,83,43
8,9,9,5,11,17,0,0,0,188,0,3,7,71,15
5,8,8,5,11,17,0,0,0,4202,0,1,0,3521,15
3,3,4,5,11,17,7,16,23,38871,743,696,515,25958,111
23,27,32,5,11,17,0,0,0,115360,124,6579,381,1522,116
5,9,10,5,11,17,0,0,0,1765,16,214,155,1182,13
18,21,24,5,11,17,0,0,0,115360,124,6579,381,1522,50
16,22,24,5,11,17,18,32,46,3088,1,268,42,68,417
5,6,6,4,11,17,0,0,0,1872,12,265,300,710,11
18,30,33,4,10,16,0,0,0,7628,10,627,84,139,71
15,29,30,4,10,16,0,0,0,74173,3552,3052,155,1800,66
16,21,23,4,11,17,0,0,0,479,0,386,400,20,42
12,17,19,4,10,16,16,30,44,3088,1,268,42,68,146
19,32,37,4,10,16,0,0,0,7490,63,1819,521,231,92
0,3,4,0,6,12,0,0,0,1138,36,66,14,294,30
0,3,4,0,1,6,0,0,0,6937,1151,539,1005,4452,12
7,7,7,5,12,18,0,0,0,233,0,0,0,11,12
5,5,5,5,12,18,0,0,0,273,0,0,0,8,13
8,10,10,5,11,17,0,0,0,30561,2039,4395,935,530,72
18,26,28,4,10,17,0,0,0,3624,5,199,33,48,41
6,7,10,4,10,16,0,0,0,13363,398,624,486,4417,11
4,4,4,4,10,16,0,0,0,9073,2545,547,34,4345,12
4,6,6,3,10,16,0,0,0,2324,0,4,0,956,11
13,21,23,6,13,19,0,0,0,344,1,35,23,10,43
17,27,34,6,12,18,27,48,69,95170,8068,4826,657,3630,121
5,5,5,5,12,18,0,0,0,349,0,0,0,11,15
18,18,20,5,11,18,0,0,0,14,0,0,0,1,20
6,8,8,5,11,17,0,0,0,424,0,0,0,17,11
8,8,8,5,11,17,0,0,0,29,0,0,0,0,13
5,6,6,5,11,17,0,0,0,223,0,0,0,8,13
4,4,4,5,11,17,0,0,0,245,0,0,0,7,11
16,22,23,5,11,17,18,32,46,3851,628,214,218,879,84
10,13,15,4,11,17,0,0,0,1765,16,214,155,1182,26
11,12,14,4,11,17,0,0,0,1765,16,214,155,1182,32
3,4,4,4,11,17,0,0,0,10,0,0,0,2,11
9,15,16,4,10,16,0,0,0,5148,4731,751,979,1806,20
3,8,27,1,8,14,8,15,22,4891,2726,317,1,4477,599
7,9,10,4,11,17,0,0,0,22943,1148,2774,664,3184,16
10,11,18,4,10,16,0,0,0,94909,24747,3053,949,1864,32
5,10,12,3,10,16,0,0,0,13363,398,624,486,4417,24
5,8,9,2,9,15,0,0,0,1765,16,214,155,1182,16
5,6,6,2,8,14,0,0,0,2649,4,6,0,812,12
0,13,16,0,6,12,0,0,0,340,134,67,9,267,64
17,18,25,6,12,19,0,0,0,8695,11,895,511,148,68
13,13,13,5,11,18,0,0,0,183,17,60,6,3,14
9,16,19,5,11,18,0,0,0,94909,24747,3053,949,1864,29
16,22,24,5,11,17,0,0,0,2969,13,205,32,103,36
3,6,10,6,12,18,0,0,0,6937,1151,539,1005,4452,18
8,16,25,6,12,18,0,0,0,30561,2039,4395,935,530,101
4,5,6,5,12,18,0,0,0,6778,1756,764,45,1532,14
14,16,18,5,11,18,0,0,0,7997,26,568,124,235,24
4,6,8,4,10,17,0,0,0,977,155,250,338,413,16
17,26,30,5,11,18,7,14,21,1068,64,1092,1940,732,89
4,13,14,5,11,17,0,0,0,54741,303,2240,401,2090,82
31,44,50,6,12,19,7,14,21,1353,16,137,26,14,116
12,17,27,1,7,14,0,0,0,22942,37,3998,522,5453,49
0,13,23,0,5,11,9,16,22,23358,84,753,38,9726,130
7,9,10,6,12,19,0,0,0,7997,26,568,124,235,32
7,12,14,5,12,18,0,0,0,9013,15171,938,212,310,21
20,25,28,5,11,18,0,0,0,89707,15817,14341,1551,2667,93
6,8,9,5,11,18,0,0,0,466,16,373,715,322,51
6,10,15,5,11,18,0,0,0,42823,901,2147,422,2970,43
0,2,2,0,5,12,0,0,0,63426,4420,3163,668,4098,11
12,18,24,6,12,19,0,0,0,97303,1576,26429,615,20977,51
13,19,24,6,12,19,14,28,42,95170,8068,4826,657,3630,127
6,6,6,5,11,18,0,0,0,115,0,0,0,31,11
5,10,11,3,9,16,0,0,0,54741,303,2240,401,2090,31
5,10,13,3,9,15,0,0,0,54741,303,2240,401,2090,30
5,6,7,6,12,19,0,0,0,7997,26,568,124,235,55
9,15,18,6,12,19,0,0,0,7997,26,568,124,235,121
8,11,15,5,12,18,0,0,0,2085,2208,576,110,254,24
