@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
4,4,12,4,10,16,0,0,0,42823,901,2147,422,2970,A
3,4,4,3,9,15,0,0,0,4533,3841,345,107,222,A
3,6,8,1,7,13,0,0,0,169363,2232,10081,240,2269,A
15,18,22,6,12,19,7,16,23,23813,118,3294,1189,306,B
3,5,7,5,11,17,0,0,0,2439,5791,1017,183,679,A
0,3,5,0,2,8,0,0,0,3820,1404,272,0,2121,A
24,30,35,6,12,18,14,32,46,6311,5,539,37,149,C
22,28,34,6,12,18,0,0,0,6311,5,539,37,149,C
6,7,10,5,12,18,0,0,0,3257,87,436,211,1419,A
3,4,4,5,11,18,0,0,0,1790,40,261,158,83,A
8,9,9,5,11,17,0,0,0,188,0,3,7,71,A
5,8,8,5,11,17,0,0,0,4202,0,1,0,3521,A
3,3,4,5,11,17,7,16,23,38871,743,696,515,25958,B
23,27,32,5,11,17,0,0,0,115360,124,6579,381,1522,B
5,9,10,5,11,17,0,0,0,1765,16,214,155,1182,A
18,21,24,5,11,17,0,0,0,115360,124,6579,381,1522,A
16,22,24,5,11,17,18,32,46,3088,1,268,42,68,C
5,6,6,4,11,17,0,0,0,1872,12,265,300,710,A
18,30,33,4,10,16,0,0,0,7628,10,627,84,139,B
15,29,30,4,10,16,0,0,0,74173,3552,3052,155,1800,A
16,21,23,4,11,17,0,0,0,479,0,386,400,20,A
12,17,19,4,10,16,16,30,44,3088,1,268,42,68,C
19,32,37,4,10,16,0,0,0,7490,63,1819,521,231,B
0,3,4,0,6,12,0,0,0,1138,36,66,14,294,A
0,3,4,0,1,6,0,0,0,6937,1151,539,1005,4452,A
7,7,7,5,12,18,0,0,0,233,0,0,0,11,A
5,5,5,5,12,18,0,0,0,273,0,0,0,8,A
8,10,10,5,11,17,0,0,0,30561,2039,4395,935,530,B
18,26,28,4,10,17,0,0,0,3624,5,199,33,48,A
6,7,10,4,10,16,0,0,0,13363,398,624,486,4417,A
4,4,4,4,10,16,0,0,0,9073,2545,547,34,4345,A
4,6,6,3,10,16,0,0,0,2324,0,4,0,956,A
13,21,23,6,13,19,0,0,0,344,1,35,23,10,A
17,27,34,6,12,18,27,48,69,95170,8068,4826,657,3630,C
5,5,5,5,12,18,0,0,0,349,0,0,0,11,A
18,18,20,5,11,18,0,0,0,14,0,0,0,1,A
6,8,8,5,11,17,0,0,0,424,0,0,0,17,A
8,8,8,5,11,17,0,0,0,29,0,0,0,0,A
5,6,6,5,11,17,0,0,0,223,0,0,0,8,A
4,4,4,5,11,17,0,0,0,245,0,0,0,7,A
16,22,23,5,11,17,18,32,46,3851,628,214,218,879,B
10,13,15,4,11,17,0,0,0,1765,16,214,155,1182,A
11,12,14,4,11,17,0,0,0,1765,16,214,155,1182,A
3,4,4,4,11,17,0,0,0,10,0,0,0,2,A
9,15,16,4,10,16,0,0,0,5148,4731,751,979,1806,A
3,8,27,1,8,14,8,15,22,4891,2726,317,1,4477,C
7,9,10,4,11,17,0,0,0,22943,1148,2774,664,3184,A
10,11,18,4,10,16,0,0,0,94909,24747,3053,949,1864,A
5,10,12,3,10,16,0,0,0,13363,398,624,486,4417,A
5,8,9,2,9,15,0,0,0,1765,16,214,155,1182,A
5,6,6,2,8,14,0,0,0,2649,4,6,0,812,A
0,13,16,0,6,12,0,0,0,340,134,67,9,267,A
17,18,25,6,12,19,0,0,0,8695,11,895,511,148,A
13,13,13,5,11,18,0,0,0,183,17,60,6,3,A
9,16,19,5,11,18,0,0,0,94909,24747,3053,949,1864,A
16,22,24,5,11,17,0,0,0,2969,13,205,32,103,A
3,6,10,6,12,18,0,0,0,6937,1151,539,1005,4452,A
8,16,25,6,12,18,0,0,0,30561,2039,4395,935,530,B
4,5,6,5,12,18,0,0,0,6778,1756,764,45,1532,A
14,16,18,5,11,18,0,0,0,7997,26,568,124,235,A
4,6,8,4,10,17,0,0,0,977,155,250,338,413,A
17,26,30,5,11,18,7,14,21,1068,64,1092,1940,732,B
4,13,14,5,11,17,0,0,0,54741,303,2240,401,2090,B
31,44,50,6,12,19,7,14,21,1353,16,137,26,14,B
12,17,27,1,7,14,0,0,0,22942,37,3998,522,5453,A
0,13,23,0,5,11,9,16,22,23358,84,753,38,9726,C
7,9,10,6,12,19,0,0,0,7997,26,568,124,235,A
7,12,14,5,12,18,0,0,0,9013,15171,938,212,310,A
20,25,28,5,11,18,0,0,0,89707,15817,14341,1551,2667,B
6,8,9,5,11,18,0,0,0,466,16,373,715,322,A
6,10,15,5,11,18,0,0,0,42823,901,2147,422,2970,A
