@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
2,3,4,10,0,0,A
0,0,0,0,0,0,A
4,6,6,12,0,0,A
5,17,5,11,7,14,C
4,15,4,10,0,0,B
6,7,6,12,0,0,A
9,9,4,10,0,0,A
3,4,2,8,0,0,A
0,3,0,0,0,0,A
4,4,5,11,0,0,A
8,9,5,11,0,0,A
0,0,0,0,0,0,A
6,9,5,11,0,0,A
0,3,0,5,0,0,A
27,29,6,12,0,0,A
8,14,3,9,0,0,A
0,0,0,0,0,0,B
9,11,6,12,0,0,A
4,7,5,11,0,0,A
16,23,5,11,9,22,B
12,18,6,12,10,24,C
5,7,5,11,0,0,A
8,17,6,12,12,25,C
12,15,6,12,13,25,B
7,19,6,12,13,26,C
11,21,5,11,12,26,C
8,11,5,10,0,0,A
4,14,4,10,0,0,A
9,19,3,10,0,0,B
0,12,0,5,0,0,A
5,5,6,11,0,0,A
6,6,4,9,0,0,A
5,9,1,7,12,26,B
11,14,5,11,0,0,A
13,17,5,11,13,17,C
13,25,4,10,0,0,C
10,17,4,10,0,0,C
9,13,5,11,12,12,C
16,25,5,11,0,0,C
22,34,5,11,0,0,C
4,8,4,10,0,0,A
9,10,4,11,0,0,A
11,14,4,10,0,0,A
24,33,4,10,22,22,C
13,26,4,10,12,12,C
13,23,4,10,39,39,C
9,9,4,9,0,0,A
12,20,4,9,28,29,C
3,3,3,8,0,0,A
11,22,3,8,0,0,C
12,18,2,8,0,0,C
25,30,5,11,0,0,B
2,13,4,10,0,0,A
19,29,4,10,7,7,C
11,13,3,9,0,0,B
2,2,3,9,0,0,A
10,14,2,9,0,0,A
18,31,5,11,3,3,C
17,25,5,11,6,6,B
19,29,4,10,5,5,C
19,29,3,9,16,16,C
11,21,6,11,0,0,C
13,38,5,11,0,0,B
17,43,5,10,6,6,C
6,7,4,10,0,0,A
5,12,4,10,0,0,A
2,2,3,9,0,0,A
9,19,1,6,0,0,A
5,10,3,9,0,0,A
5,12,3,9,0,0,A
0,4,0,3,0,0,A
0,8,0,0,0,0,A
0,2,0,5,0,0,A
