@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
14,5,28,12,14,22,D
0,1,0,7,5,6,A
0,5,0,12,3,3,A
0,6,0,12,12,15,B
0,6,0,12,7,8,B
0,4,0,11,2,3,A
0,4,0,10,5,6,A
7,6,13,13,26,44,D
0,6,0,13,11,12,C
0,6,0,13,3,3,A
0,6,0,12,5,6,A
0,6,0,12,3,6,D
0,0,0,6,0,3,A
0,0,0,6,0,3,B
0,0,0,6,0,2,A
0,0,0,0,0,0,B
0,6,0,12,6,6,A
7,5,14,11,21,33,D
0,2,0,8,5,8,B
0,5,0,12,3,3,A
0,5,0,11,9,11,B
0,5,0,11,2,3,B
0,3,0,10,3,5,A
0,0,0,0,0,0,A
0,3,0,10,4,6,A
0,2,0,8,4,4,A
0,5,0,11,4,4,B
0,0,0,0,0,0,B
0,5,0,12,5,5,A
0,5,0,12,2,3,A
0,5,0,11,7,9,D
0,6,0,13,10,10,B
0,3,0,9,2,2,A
0,0,0,3,0,3,A
0,0,0,2,0,3,A
0,0,0,2,0,2,B
0,7,0,13,5,5,A
0,6,0,12,4,4,B
0,4,0,10,4,8,B
0,5,0,11,2,2,A
0,4,0,11,4,4,B
0,2,0,8,3,4,A
0,5,0,12,9,14,D
0,5,0,11,8,8,B
0,0,0,5,0,3,B
0,6,0,12,11,11,B
0,5,0,12,4,4,A
0,5,0,12,3,3,A
0,4,0,10,6,6,B
0,1,0,8,2,2,A
0,6,0,12,4,6,B
0,5,0,12,3,3,A
0,4,0,10,4,4,B
0,0,0,0,0,0,B
0,6,0,12,5,6,B
0,2,0,8,2,2,A
14,5,28,12,5,13,D
0,5,0,12,2,2,A
0,5,0,11,5,6,B
0,0,0,5,0,4,B
0,6,0,13,5,6,A
0,5,0,12,6,7,B
0,5,0,11,5,6,A
0,4,0,11,3,3,B
0,0,0,0,0,0,A
29,5,62,11,6,12,D
0,5,0,11,5,9,B
7,6,17,12,11,15,D
0,4,0,11,3,5,A
0,7,0,13,4,5,B
6,7,19,13,8,8,D
0,6,0,13,3,3,A
0,5,0,11,7,7,B
0,5,0,11,2,2,B
0,4,0,11,4,4,B
0,5,0,11,2,2,A
0,4,0,10,2,2,A
0,4,0,10,2,2,A
0,3,0,10,4,5,A
0,5,0,11,7,7,C
0,5,0,11,7,9,B
0,5,0,11,3,3,B
0,5,0,11,8,8,B
0,5,0,11,8,8,B
0,5,0,11,8,8,B
16,5,44,11,8,10,D
0,4,0,10,6,6,A
0,3,0,9,6,6,A
0,2,0,8,2,3,A
0,6,0,12,2,6,A
0,6,0,12,5,6,A
0,6,0,12,6,6,A
0,4,0,11,6,7,A
0,4,0,10,2,2,C
0,4,0,10,5,5,A
0,1,0,7,3,3,B
0,5,0,10,2,3,A
0,5,0,10,2,4,A
14,4,29,10,7,8,C
0,0,0,4,0,2,B
0,4,0,10,3,7,B
0,3,0,9,3,8,A
0,2,0,8,3,3,A
0,1,0,7,4,4,B
0,1,0,7,2,4,A
0,5,0,11,59,83,C
0,1,0,7,2,3,A
0,5,0,11,2,6,A
0,4,0,10,5,7,A
0,3,0,9,5,10,B
0,1,0,7,3,6,A
0,0,0,0,0,0,A
0,0,0,0,0,0,A
0,4,0,10,2,4,A
0,2,0,8,3,3,B
0,0,0,0,0,0,A
0,5,0,12,2,3,B
0,5,0,12,8,9,B
0,5,0,11,7,7,A
0,4,0,11,8,8,A
0,4,0,10,2,2,A
0,2,0,8,9,10,B
0,0,0,6,3,4,A
0,5,0,11,2,5,C
0,6,0,13,4,7,A
0,6,0,12,4,6,B
0,5,0,12,4,4,A
0,5,0,11,5,6,A
0,5,0,11,5,6,A
0,5,0,11,5,7,A
0,4,0,11,6,7,B
0,4,0,11,8,10,B
0,4,0,10,4,15,B
0,4,0,10,2,7,C
0,0,0,6,0,6,A
0,5,0,11,5,8,B
0,5,0,11,4,7,B
0,5,0,11,10,15,C
0,4,0,10,3,5,A
0,2,0,8,3,6,B
0,5,0,11,3,4,A
0,5,0,11,3,3,A
0,4,0,10,7,16,B
0,4,0,10,4,4,B
0,5,0,12,9,9,A
0,6,0,12,4,4,A
0,5,0,12,4,6,A
0,5,0,11,9,13,B
0,4,0,11,5,6,B
0,4,0,10,4,8,B
0,3,0,10,3,3,A
0,3,0,9,3,5,A
0,2,0,9,9,12,B
0,2,0,8,2,2,A
0,0,0,1,0,3,A
0,0,0,1,0,2,B
0,5,0,11,8,8,B
0,3,0,10,4,11,B
0,3,0,10,3,3,A
0,0,0,0,0,2,A
0,6,0,12,9,9,A
0,1,0,7,2,2,A
30,0,43,2,0,4,C
0,5,0,12,6,8,B
0,5,0,11,5,5,A
0,5,0,11,5,6,A
0,4,0,11,3,5,B
0,2,0,8,2,5,A
0,1,0,8,6,6,A
0,0,0,4,0,10,B
0,6,0,12,5,5,A
0,6,0,12,4,4,B
0,6,0,12,2,3,A
0,5,0,12,9,9,B
0,5,0,12,7,9,B
7,3,14,10,6,11,C
0,0,0,5,0,6,A
0,6,0,12,5,5,A
0,6,0,12,7,7,A
0,5,0,12,7,7,A
0,5,0,11,6,6,A
0,3,0,10,5,6,A
0,2,0,9,3,3,A
0,6,0,13,5,11,B
7,6,13,12,5,7,C
0,6,0,12,2,2,A
0,6,0,12,4,5,A
0,5,0,11,8,10,B
0,4,0,10,5,9,B
0,6,0,12,4,9,B
0,5,0,11,4,4,A
0,5,0,11,6,6,B
